,bathrooms,bedrooms,latitude,listing_id,longitude,price,created,building_id,description,display_address,features,manager_id,street_address,interest_level
102231,1,2,40.7319,6916596,-73.9817,4233,4,1edde1c89233fb1b1a38c53e992b0756,HUGE AMOUNT OF NEW SPACE THIS IS ONE SEXY APARTMENT!!! GREAT REAL BRAND NEW 2 BEDROOMS FULLY RENOVATED.Apartment Features* Brand new stainless steel appliances* Beautiful Manhattan views.* Kitchen with huge counter top and New Cabinets and Dishwasher.* Kitchen feature cherry cabinetry* Every Window in the rooms Provide Excellent light.* Great Layout and Size.* Polished Hardwood Floors.* Large amount of Closet Space.Building Features* 24/7 security services* Lobby hallways all brand new* Onsite laundry* Bicycle room* Fitness center* Pet friendly building.* High speed elevators!* High speed Internet* Sun deck* 80-acre private park* Ice skating ring* Volleyball paddle tennis and bocce ball courtsTo schedule now an exclusive appointment to view this apartment reach me Tuval Mor by EMAIL CALL OR TEXT. @All pictures are copyright protected all rights reserved to Tuval Mor.Bond New York is a real estate broker that supports equal housing opportunity.Bond New York is a real estate broker that supports equal housing opportunity.<a website_redacted ,First Ave,[Dining Room Elevator Dishwasher Hardwood Floors No Fee],3793e58c60343a3fd6846ca2d2ef3c7f,252 First Ave,low
102232,1,1,40.7843,6900389,-73.9503,2795,4,0,GUT renovated 1 bedroom unit in 24 hours doorman building in Upper East Side. Great location Great price- new kitchen- marble bathroom- Lot of closets space Call Ersan to see this unit today 860-659-7509.<a website_redacted ,East 95th,[Roof Deck Dining Room Doorman Elevator Laundry in Building Dishwasher Hardwood Floors Dogs Allowed Cats Allowed],e97e905f8a821f1446a1bc42f4d8802e,182 East 95th,low
102236,1,0,40.7677,6905919,-73.9916,2500,4,9c18bf871b97492b96d8ddb800591f1b,24 HOUR LUXURY DOORMAN BUILDING LOCATED IN PRIME MIDTOWN WEST ** STATE OF THE ART FITNESS CENTER ** POOL ** 9000 SQFT OF AMENITY SPACE ! ** BASKETBALL COURT ** BOXING STUDIO ** SPA-LIKE AMENITIES ** HUGE COMMON OUTDOOR SPACES ** ROOF DECK ** LOUNGES w/ CABLE AND WiFi **ON-SITE LAUNDRY **VERY LARGE OPEN LAYOUT STUDI ** COMPLETELY RENOVATED OPEN KITCHEN w/ BREAKFAST BAR ** WASHER/DRYER IN THE UNIT ** BRAND NEW HARDWOOD FLOORING ** MARBLE BATH ** HUGE FLOOR TO CEILING WINDOWS ** TONS OF LIGHT ** GIGANTIC QUEEN SIZED ROOMS **IF INTERESTED PLEASE CONTACT LEERAN AT 667-756-2275 FOR MORE INFORMATION OR TO SCHEDULE A VIEWING!net effective based on 14 month lease after 2 month free!<a website_redacted ,W 54 St.,[Swimming Pool Roof Deck Dining Room Doorman Elevator Fitness Center Laundry in Building Laundry in Unit High Speed Internet Green Building Dishwasher Hardwood Floors No Fee New Construction Dogs Allowed Cats Allowed],a7b1843113e8780eb0f881ab1596a9a8,550 W 54 St.,medium
10224,1,0,40.69,7108756,-73.9919,2780,6,b7eb566cf478a2ca43e3c5940884f659, At the crossroads of three historic neighborhoods Brooklyn Heights Cobble Hill and Downtown Brooklyn this building sets the standard for turn-key living with some of the most generous amenities anywhere. To start? A 24-hour concierge underground parking and a 40000-square-foot YMCA fitness center. Residences are showplaces. Each stands apart for its designer kitchen red oak hardwood floors and custom millwork. Court House Apartments embodies the meaning of life lived well.,Court Street,[Elevator No Fee Cats Allowed Dogs Allowed],d5d246c9d9d4e7079e5a0fc962d2f1a7,125 Court Street,low
102240,1,1,40.715,6862031,-73.9917,2200,4,d2f4802257b2c172e82e42ef0cb78699,True 1 bedroom on Orchard st and Canal$2200Newly renovated apartment located in the midst of lower east side city night life with awesome food around the area. Close to the M15 bus and only a couple blocks away from the subway. In addition it is also close to chinatown for other food/nightlife optionsPlease call or email Jacob Harooni when you would like to schedule a showing 746-808-9999//kagglemanager@renthop.com<a website_redacted ,Orchard Street,[],c70dac1e7841801c3f8257de18f21561,14 Orchard Street,medium
102241,2,3,40.6808,6891868,-73.9374,2625,4,a9015a61c49b2c421aa0a1e296ea6f2b,"AVAILABLE JUNE 1ST 2016. Advertised rent is the average rent or net rent given your last month of rent is free on a 12 month lease. Gross rent is more. This exact unit is a stunning 3 bed 2 bath modern DUPLEX with lofty open concept kitchen and living areas four generous closets. This building has been meticulously renovated to maximize every aspect of your Brooklyn living experience. Each unit has been thoughtfully updated leaving no detail unattended to. The plethora of features include open concept living and kitchen layoutsultra high 10'-16' ceilings dependent on unit gorgeous 4"" wide white plank hardwood floors and 6' windows allowing for abundant natural light. Additional features include indirect lighting by armetide recessed lighting charming exposed brick and even handcrafted millwork. Thoughtfully executed kitchens include imported cabinetry from Spain accent tiled backsplash white quartz countertops and stainless steel appliances including refrigerator and electric stove. Bathrooms boast floor to ceiling imported porcelain tile illuminated medicine cabinets swedish storage vanities recessed downlighting polished chrome fixtures and even spa rain shower fixture. Building amenities include a laundry room bike storage a small package room and a beautiful contemporary cafe which will offer brilliant life-saving morning coffee a cozy relaxing dining area to get away and a classic weekend brunch to be enjoyed with friends and family. Guarantors are ok. Pets are ok on approval and may require a pet deposit. Conveniently located minutes to the A/C subway lines. This is truly a unique and enviable find. Contact me today to ensure your own private viewing...",144 Decatur St,[Dishwasher Duplex Newly renovated Storage Bike room On-site laundry Cats Allowed Dogs Allowed Pre-War],4e8a439d7b58f88f4f99e322c9ca9b67,144 Decatur St,medium
102243,1,1,40.767,6859853,-73.9841,3275,4,db572bebbed10ea38c6c47ab41619059,Amazing building in a Prime location! just steps from Carnegie Hall Lincoln Center and Central Park. LIVE AT THE TOP! 24 hour doorman fitness center pool lounge storage and amazing roof deck.High Floor Sunny Southern Facing Renovated One Bedroom Apartment with Amazing City Views. Beautifully Renovated Kitchen with Stainless Steel Appliances Marble Counter tops and Dishwasher.COME LIVE AT YOUR NEXT HOME!For an exclusive showing contact:kagglemanager@renthop.com-271-3851<a website_redacted ,W 57 St.,[Swimming Pool Roof Deck Doorman Elevator Fitness Center Laundry in Building High Speed Internet Dishwasher Hardwood Floors No Fee Dogs Allowed Cats Allowed],2b14eec3be2c4d669ce5949cf863de6f,322 W 57 St.,medium
102245,1,0,40.762,6885722,-73.9636,1850,4,39dd015bc8b81e4ae8b667357b8620b4,Amazing location !! This renovated studio is located within very close proximity to the subway. The building is well-maintained and the apartment has newly stained floors. This apartment accepts dogs. Walkup building with a live-in super. Located in the heard of the UES steps from shops cafÃƒÆ’Ã‚Â© and nightlife. Contact me today to schedule a showing. ,East 61st Street,[Pre-War Dogs Allowed Cats Allowed],28c4b0bb8a8fc45433837da603bc55b4,257 East 61st Street,low
102248,1,0,40.7536,6872228,-73.9739,2450,4,ec12b4db154a9c75983f5e32edd93843,<a website_redacted ,E 46 Street,[Doorman Elevator Loft Dogs Allowed Cats Allowed],160d1119e69a690584375096ff5775a2,140 E 46 Street,low
102253,1,0,40.7334,6948388,-74.0047,3350,4,75968833fe814f3a5236959790fb4984,Your opportunity to live in the heart of the West Village in one of the most sought after buildings with deco lobby and a 24 hours doorman. This spacious studio has enough room for a dining table living room and bedroom. The updated kitchen has marble countertops dishwasher and is flooded with light. The bathroom is new with a full size tub. Gas & Electricity included! 1 yr FREE GYM., Christopher street NO FEE,[Doorman Elevator Fitness Center Laundry In Building No Fee],a936cd07895efded15c36140a62a78b7,95 Christopher street,high
102254,1,1,40.7237,6868772,-74.0049,2050,4,7b1bcff0420c79e9a8e14e020936f307,SPACIOUS SUNNY 1 BEDROOM TOP FLOOR 3 FAMILY TOWNHOUSE AC&G TRAINS PRATT VICINITYLOTS OF SPACE!LOTS OF WINDOWS!GREAT LOCATION!Quincy Street near Classon.Beautiful bright fully renovated 1 bedroom in quiet well maintained 3 family townhouse. Amazing space with tons of light extra large living room spacious bedroom. large eat in kitchen with dishwasher. Also in same building fully renovated 2 bedroom $2900. Located near subways restaurants bars and a short walk to Pratt Institute.,66 Quincy Street,[],1d3f3acbd945bd0a122e0625f3959f89,66 Quincy Street,high
102255,1,0,40.7833,6916294,-73.9511,1995,4,f2aac61e5e6f63cd9f2807f598c17f18,,East 93rd Street,[Cats Allowed Dogs Allowed Exclusive],d1737922fe92ccb0dc37ba85589e6415,188 East 93rd Street,low
102256,2,2,40.7568,6868213,-73.9982,4537,4,96274288c84ddd7d5c5d8e425ee75027,THIS IS THE BEST DEAL IN THE CITY FOR A LUXURY 2 BEDROOM/ 2 BATHROOM WITH BEAUTIFUL BALCONY!THIS IS A NO FEE UNIT! IT IS AN AMAZING APARTMENT AND WILL SELL ITSELF. DOORMAN LAUNDRY AND EVERYTHING ELSE YOU CAN IMAGINE.Building Amenities:? Concierge? Doorman? Elevator? Garage Parking? Gym? Laundry in Building? Live-in Super? Parking Available? Pets Allowed? Community Recreation Facilities? Storage Available? Outdoor Space? Deck? Garden? Roof Deck? TerraceNO FEE!!!**Price is net effectiveApartments feature floor-to-ceiling windows hardwood floors tall ceilings and modern appliances. Many apartments offer large balconies for private outdoor space and breathtaking views of the Chrysler Building Empire State Building Statue of Liberty and the High Line!THIS UNIT WILL GO QUICK. IT IS A REAL INCREDIBLE OFFER. NO FEE!FOR AN EXCLUSIVE VIEWING CALL/TEXT DANIELA. 467-265-1799 kagglemanager@renthop.com *IF THS IS NOT exactly what you are looking for feel free to contact me and I will be help you have a seamless quick and comforting experience in finding your new home.<a website_redacted ,West 37th Street,[Roof Deck Doorman Elevator Fitness Center Laundry in Building High Speed Internet No Fee New Construction],a21c0ea7f452539ee52293a199e40236,505 West 37th Street,low
10226,1,0,40.7785,7221945,-73.9759,3250,6,279a1a7c37b6802cd6f0a2f92d2d1dde,New renovated studio duplex apartmentvery bright and nice big windows hardwood floorsopen concept living-dinning area full kitchen brand new renovated full bathroom with tub and extra half bathroom a walking closet and a lot of closets and your own outside private space for the wonderful warm days in the city .Upper west side with a lot of restaurants bars and shops the best grocery's in the areapost office in 5 minequinox gym in 5 min 2 min from subway station 72th street2 min a way from legendary Central ParkAs a long time resident of Midtown West I am an expert in the neighborhood and I have access to the most beautiful apartments. Call or email today so we can find your new home<a website_redacted ,West 75th Street,[],13ddb55a3a9d896b4bcdd538ee0ec067,24 West 75th Street,low
102262,1,1,40.7998,6909599,-73.9686,2400,4,0,***Low cost****Enormous***Easy Access and approval** Charming one bedroom apartment in Upper West Side. Unit features hardwood floors high ceilingsplenty closet and storage space a large bedroom that easily fits a queen sized bed a full bathroom and kitchen with granite countertops and appliances.Building features an elevator and on-site super. Conveniently located near several restaurants coffee shops and large retail and grocery chain stores including Whole Foods Market. Feel free to contact me with any questions or to schedule a private showing of this unit or any others on our site. ,West 104th Street,[Pre-War],379e9c250a70372e5cb50b3edce15127,240 West 104th Street,low
102263,1,2,40.8144,6893916,-73.9367,2095,4,0,*NO FEE* *AMPLE CLOSET SPACE* *FLOODED WITH LIGHT* NEAR THE 2/3 TRAINS* *CLOSE TO THE BEST OF WHAT HARLEM HAS TO OFFER!Call Patrick today to schedule your private viewing!(710-160-0910 &lt;&gt; kagglemanager@renthop.com PAD (actual apartment photos):- Full Sized Bedroom- Custom Closets- Gas Range- High Ceilings- Flooded with lightTHE BUILDING:- Cats &amp; Dogs Case By Case- Close to the 2/3 TrainsNot your cup of tea? No worries!I have SEVERAL listings to fit any lifestyle and budget. Call/Text/Email Me to find out why more and more folks are Movin' On Uptown!(710-160-0910&lt;&gt;kagglemanager@renthop.com,5th Avenue,[prewar Dogs Allowed Cats Allowed LIVE IN SUPER LOWRISE SIMPLEX HARDWOOD No Fee],09cfe06945cd849badee1063e942f28e,2254 5th Avenue,low
102266,1,1,40.7614,6826364,-73.9824,3695,4,0b3ac8c7feb50db5e2a242bcd14a68c2,WELCOME TO THE EXECUTIVE PLAZA! IN THE HEART OF MANHATTAN! LOCATED ON 51 STREET AND 7TH AVENUE JUST STEPS FROM TIMES SQUARE CENTRAL PARK AND ALL THE BEST THEATERS AND MORE! EXECUTIVE PLAZA IS A FULL SERVICE PRE-WAR CONDOMINIUM BUILDING WITH 24/7 DOORMAN AND CONCIERGE RECENTLY UPGRADED GYM AND THE MOST CONVENIENT.THIS SPACIOUS 1 BEDROOM 1 BATHROOM IS COMPLETELY RENOVATED AND FULLY FURNISHED AVAILABLE FOR SHORT OR LONG TERM LEASE. HAS FLAT SCREEN TV IN THE LIVING AND ONE IN THE MASSIVE BEDROOM HAS GREAT CLOSET SPACE AND A BEAUTIFUL OPEN KITCHEN WITH ALL THE APPLIANCES3 MONTH MINIMUM.SPECIALIZING IN NYC RENTALS TAKE A STEP TO YOUR NEXT HOME. ORI 935-727-2488 kagglemanager@renthop.com AVAILABLE 24/7 ANY TIME ANY WHERE.<a website_redacted ,150 West 51st Street,[Furnished Dishwasher Hardwood Floors Outdoor Space],cbcd513212d592e6c717d27be14f46ac,150 West 51st Street,medium
102268,1,2,40.7207,6833164,-73.9801,3508,4,cc72289f92023f408bfbf676d25c51ba,*Net Effective Price On Free Month On An 13 Month Lease*Convertible 2 Bedroom apartment with full walls allowedGorgeous newly constructed building located in the Lower East Side. Apartments feature floor-to-ceiling windows which open up the residences to an abundance of sunlight Bamboo plank hardwood floors wireless Bluetooth speakers in every living room and bedroom washer and dryers dishwasher and custom Italian kitchen.Building features a furnished rooftop terrace with a great lawn lounge areas dining tables and magnificent panoramic views are yours to enjoy. Fully-equipped gym with Light Fitness and WiFi 2nd Floor Patio with barbecues Recreation room with Smart TV and WiFiCall or Text Jonathan Choi anytime to schedule a viewing.<a website_redacted ,East 2nd Street,[Roof Deck Doorman Elevator Fitness Center Laundry in Building Laundry in Unit Dishwasher Hardwood Floors No Fee New Construction],63e8c482071c22f43dd91b954e75cc2c,310 East 2nd Street,low
102270,1,1,40.78,6851741,-73.949,2350,4,1bbc4f3f83808411491fc44b7b2eba52,Amazing True 1 bedroom unit located on E 90th Street in a Laundry & elevator building. Unit offers a massive bedroom which fits a king size bedroom. Customized storage & closet space. Separate updated kitchen and large living space with great natural sunlight. Located near the Express 4 5 & 6 trains Buses Shops Entertainment & more! Call or Text Ivo for an exclusive showing of this and many more listings in NYC.Bond New York is a real estate broker that supports equal housing opportunity.<a website_redacted ,E 90 Street,[Elevator Laundry in Building Dishwasher Hardwood Floors Cats Allowed],d9039c43983f6e564b1482b273bd7b01,312 E 90 Street,medium
102273,2,2,40.753,6908291,-73.9695,5495,4,aed67db466854ec2aa5d249a032bc401,**STUNNING**SPACIOUS** TRUE 2****MIDTOWN**EAST**DOORMAN**This is a stunning unit that has so much to offer. located in the much desired area of midtown east.DO NOT MISS your chance to live in this stunning unit with a huge walk in closetIT IS A TREMENDOUS 2 BED ROOM THAT IS NEWLY RENOVATED AND ALSO HAS AN OUTDOOR PATIO SPACE CAN YOU PICTURE YOURSELF LIVING IN THIS BEAUTIFUL HOME WITH EVERYTHING MIDTOWN HAS TO OFFER?? NO FEELET ME SHOW YOU THIS AMAZING DEAL IN PERSON please contact me at 839-760-7339// kagglemanager@renthop.comnot interested in this location ?please contact me to learn about my other extensive listings through out NYC and let me help you find your new home(718) kagglemanager@renthop.com<a website_redacted ,East 47th Street,[Roof Deck Doorman Elevator Fitness Center Pre-War Laundry in Building High Speed Internet No Fee Outdoor Space],612a00076aefe8c98d1df4835640c74b,301 East 47th Street,low
102274,1,3,40.8254,6818149,-73.9525,2400,4,360d4d3a2c6416c48b89ffa2e3eb6cfc,Comfortable spacious renovated apartment with modern kitchen modern bathroom hardwood floors updated kitchen updated bathroom storage space. It is located in a well maintained video security elevator laundry building within a five minute walk to the subway. All buildings come with Bed Bug certifications. Cable and High Speed Internet Heat and Hot Water Included. Showing Today! Schedule on-line at:www.MyManhattanapt.comSchedule your showing today on-line at:www.MyManhattanapt.comShowing times: 8:45am 10:15am 11:45am 1:15pm 2:45am 4:15pm 5:45pm 6:30pm 7:30pmRequirements & Documents: Letter of employment last year's tax return recent bank statement. Shares ok guarantors welcome (same documents needed)*No fee conditions apply ,Beautiful Spacious Renovated Modern Kitchen & Bathroom Elevator LaundryÂ ,[Cats Allowed Dogs Allowed No Fee Reduced Fee Elevator Laundry In Building Subway High Speed Internet Shares OK Hardwood High Ceilings Marble Bath Granite Kitchen Light],2a4e0d2668fde3afa267d312b3a2a9d8,610 W 143rd St.,low
102278,1,2,40.7673,6924583,-73.9866,3725,4,8754cae39f6e053974aa2337017eb3c1,CooperCooper.com :: Listing ID #10_0385; 400 West 56th Street Apt. 2H (9th Avenue and 10th Avenue); Access 1000s of Unique Listings Online; APARTMENT FEATURES: Washer/Dryer Dishwasher Granite Kitchen Stainless Kitchen High Ceilings South Exposure West Exposure; BUILDING AMENITIES: Rental Pre-War Low-Rise; AREA/NEIGHBORHOOD: Central Park Columbus Circle Access to the M31 X14 M57 Access to 1/2/A/B/C Subways D'Agostino's Food Emporium Metropolitan Opera Lincoln Center; CONTACT US: For more information or to schedule a viewing call Lisa Whitaker Lic. R.E. Salesperson at C: 000-420-2751 O: 000-420-2751 Email: kagglemanager@renthop.com Website: CooperCooper.com/LisaWhitaker Bio: Ms. Lisa Whitaker Manager: Originally from Dallas Texas Lisa is tasked with overseeing the day-to-day operations of the firm and fostering client relationships. She began her successful New York real estate career as an Associate at Cooper &amp; Cooper after years of property management and on-site experience with a premier developer in Boston. With a warm &quot;can do&quot; demeanor Lisa has earned high praise from her many appreciative clients. One such client described her as &quot;fantastic... easily the best.&quot; Lisa earned her bachelor's degree in Business Administration from Wake Forest University.,400 West 56th Street,[Laundry in Unit Dishwasher Cats Allowed Dogs Allowed],6e5c10246156ae5bdcd9b487ca99d96a,400 West 56th Street,low
102279,1,1,40.8466,6934022,-73.9348,1600,4,0afbe8c1951cc4acdb6f3306e3eb51c4,Bright one bedroom apartment with great layout in charming building... features RENOVATED kitchen with STAINLESS STEEL APPLIANCES hardwood floors high ceilings on lovely block close to subway.. UNBEATABLE VALUE!!!** Call JAMAL to view this apartment: 1-983-877-1571 **** I have thousands of apartments available all over the city I can help you find a great place with no hassle!!!,583 West 177th street,[],2ec6c71d78dd9df9046ce6899ec42de8,583 West 177th street,low
102288,1,1,40.7633,6889371,-73.9849,3775,4,0,Ideally situated apartment in a lux high-rise on 8th Ave and the low 50s. You're steps from the trains Central Park Whole Foods Columbus Circle and more!APARTMENT: Stunning and huge true two bedroom/two bathroom apartment with condo finishes throughout including strip wood floors granite countertop stainless steel appliances and a pristine marble bathroom. You also have multiple closets including a walk-in!BUILDING: Full-time doorman building with onsite laundry gym valet and more!Call Justyna for a showing of this apartment or for help in your apartment search; I have access to every listing in the City!<a website_redacted ,West 52nd Street,[Doorman Fitness Center Dishwasher Hardwood Floors No Fee],6b1ee996b1c87cd54c6cd92acbef9aac,260 West 52nd Street,low
10229,1,1,40.7226,7176559,-73.9949,3495,6,ca77cf861e8c6147d8ac02f119e8e805, NO FEE!!!Apartment features a marble bathroom washer & dryer and granite kitchen with dishwasher. Accented by exposed brick high ceilings and hardwood floors.Conveniently located just blocks from the Union Square and close the 14th Street and 3rd Avenue bus lines and just steps from great downtown restaurants and nightlife.,Mott St,[No Fee Cats Allowed Dogs Allowed],524a48d3526730bec7262442b3aa9a94,234 Mott St,low
102291,1,0,40.7703,6836231,-73.9635,2150,4,0,BRAND NEW ON THE MARKET................................ ,East 71st Street,[],e50d99e3da5ad420b1c2eb06309ad061,117 East 71st Street,low
102292,1,0,40.7459,6915246,-73.9564,2300,4,b2b2cfd162f51f2d36ba35263924e491,Just 1 stop from Grand Central!! This gorgeous pet friendly luxury building features * Movement Studio * Screening Room * Spin Studio * Concierge * Fitness Center * Billiards Table * Massage Room * 's Playroom * On-site Gourmet Grocery and Pharmacy * GarageThe apartments all feature Granite counter tops Marble bathOver sized if not ceiling to floor windowsHardwood flooring Modern kitchen & BathDesirable layout great closets space and Lots of natural light with an amazing city views don't miss out the key of your new homeCALL NOW!!!!For exclusive view dont hesitate to call/txt/email and i also cover all no fee apartment in the area Tresor Guy kagglemanager@renthop.comnet effective price<a website_redacted ,Center Blvd,[Swimming Pool Roof Deck Doorman Elevator Fitness Center Laundry in Building Laundry in Unit Dishwasher Hardwood Floors No Fee Outdoor Space Dogs Allowed Cats Allowed],81fd62181a08a24e54eeaecd1739589b,4705 Center Blvd,low
102293,1,1,40.7838,6903392,-73.9535,4300,4,0,Fantastic Penthouse in sophisticated doorman building. This unit has High ceilings hardwood floors a gorgeous kitchen with skylight and a terrace. The building offers a laundry room elevator and doorman. Located almost corner with Park avenue and only two blocks away from Central Park. Near transportation includes 456 trains ,East 92nd Street,[Doorman Pre-War Dogs Allowed Cats Allowed],4c9a9eb75e7e73c3e5bb7ef7035920b3,115 East 92nd Street,low
102297,1,3,40.8198,6851870,-73.9578,2950,4,5565db9b7cba3603834c4aa6f2950960,Elevator building laundry in building heat cooking gas and hot water included full time security staff convenient access to 1 train. Storage in basement available for an additional charge. River and Courtyard Views! Equal Size Bedrooms! Great For Shares!If this apartment is not exactly what you are looking for please send me an email with a description of what you are looking for and I am confident I can find you the apartment that suits your needs within our large database of available NYC apartments!<a website_redacted ,Broadway,[Doorman Elevator Laundry in Building High Speed Internet Hardwood Floors Wheelchair Access No Fee Dogs Allowed Cats Allowed],4f9b376a972b863bbfbdcdc8d717fa4e,3333 Broadway,low
1023,1,1,40.7397,7109739,-73.9817,3395,6,d66492cfc7f3d8d9f20a158eaf6b8f3d,** NO FEE **Stunning 1 bedroom penthouse with private roof deck. Features include:~King size bedroom with enough space for additional furniture~In unit washer/dryer~Ample closet space~Exposed brick~Gourmet kitchen offers abundant cabinet space~Marble bathroom~Stainless steel appliances~Dishwasher~Wine coolerIf interested in this or any other listing please contact Andrew Bak kagglemanager@renthop.com,East 25th Street,[Washer in Unit Dryer in Unit Dishwasher No Fee Cats Allowed Dogs Allowed],e2aa71ea7e46aa975a6cefa35f64d28b,208 East 25th Street,low
10230,1,2,40.7548,7215672,-73.9944,3200,6,39e0fd76dd41985daf2ef025357827ae,"The building features a twenty foot water wall when you walk into the lobby which is attended by a 24 hour doorman/concierge. The property also includes a 30 story furnished and fully landscaped roof deck with 360 degree views of the city a fitness center which has individual TV?s in all cardio equipment a full featured Wi-Fi lounge/gaming room bicycle storage and an in-house accessible parking garage.This apartment feature Asko washers & dryers in all one and two bedroom apartments an iPod docking station built in speakers and volume control in all rooms including the bathroom open kitchens with hardwood cabinetry white Caesar-stone counter tops Viscaya snow glass backsplashes with matte finish Frigidaire ice maker refrigerators GE ranges microwaves & dishwashers and ceramic tile flooring. Baths designed with Kohler vanities faucets toilets and fixtures white marble tile and flooring. Solid natural oak plank flooring throughout the unitTO SECURE A PRIVATE VIEWING CONTACT TRESOR EMAIL: kagglemanager@renthop.com CELL: 437-298-0577 NOT WHAT YOUR LOOKING FOR? STRESS NO MORE! WITH ACCESS TO ALL NYC LISTINGS I WILL WORK 24/7 TO FIND YOU THE APARTMENT YOU CAN FINALLY CALL ""HOME""! CALL/TEXT/EMAIL ANYTIME ANY DAY!<a website_redacted ",W 37 St.,[Roof Deck Dining Room Doorman Elevator Fitness Center Laundry in Building Laundry in Unit High Speed Internet Dishwasher Hardwood Floors No Fee Outdoor Space New Construction Dogs Allowed Cats Allowed],81fd62181a08a24e54eeaecd1739589b,350 W 37 St.,low
102302,1,1,40.7796,6910628,-73.9493,2200,4,ba6bef9d045edcdc04bce07cd86f125b,Nice 1 BR apartment on the UES renovated kitchen hardwood floors closet spaceshigh ceilings nice view close to public transportation stores.... For more information contact Maria Call/Text: 624-150-8136 kagglemanager@renthop.comBond New York is a real estate broker that supports equal housing opportunity.<a website_redacted ,E 89 Street,[Elevator Laundry in Building No Fee],c71cf1f472cf9b4b4517ea23fb6f2c91,313 E 89 Street,low
102303,1,2,40.7554,6819784,-73.9867,2100,4,98476b4c61b706b4c88605bcb2053143,A FABULOUS 4BR IN HAMILTON HEIGHTS! PERFECT APARTMENT! UPDATES WITH HARDWOOD FLOORS HIGH CEILINGS AND MODERN UPDATES THAT YOU CANNOT TAKE YOUR EYES OFF OF!GREAT AREA!!!!DON'T MISS OUT ON THIS AMAZING APARTMENT!If this apartment doesn't fit your needs our brokers have over 15 years experience and access to thousands of amazing listings. Call us today and we'll find the one that's perfect for you. We look forward to finding you your new home!CALL TODAY!(709-571-3846,NO FEE! SO PERFECT THIS 2BR!,[No Fee Elevator],4bdc3d8c1aaa90d997ce2cb77680679b,W 136 7 BROADWAY,high
102306,1,1,40.7431,6815198,-73.9792,3195,4,ac6114a130a198f377ccd6912bcc91bf,This is a spacious 1 BED filled with TONS of light through a wall of over-sized windows and your PRIVATE BALCONY!!!! Your new home features a separate ready to use kitchen; airy high ceilings wall of closets and polished oak floors. Individual climate control. Each apartment is equipped with an alarm system. Live a glamorous lifestyle in this phenomenal apartment!This mid-rise post war residence has the following great features: an elevator live in super on-site laundry and a beautiful granite lobby with a package room!The neighborhood is vibrant trendy and tree-lined! It features lots of nightlife shopping and dining experiences. Saint Gabriels Park! Major public transportation is easily available. One of the most attractive Murray Hill's cultural gems is the Morgan Library! Come find out more great things in Murray Hill! Not exactly what you are looking for? Contact Nathan 978-329-9727 for a private showing!!! pics of similar unit rented in the same building.<a website_redacted ,East 30th Street,[Balcony Elevator Dishwasher Hardwood Floors],ad87505a08c0526bc5c16796f35443eb,207 East 30th Street,low
102309,1,3,40.8325,6831273,-73.9436,2250,4,d04bcaef422f0a6137f4849b80035408, ,West 156th Street,[Cats Allowed Dogs Allowed],8f5a9c893f6d602f4953fcc0b8e6e9b4,520 West 156th Street,low
10231,1,2,40.8198,7120160,-73.9578,2695,6,5565db9b7cba3603834c4aa6f2950960,Spacious 2 bedroom one bath the huge black frame windows give way for beautiful sun rays to flow in and created gorgeous lighting. Heatcooking gas and hot water all included in the rent. The hardwood floor throughout the apartment is the perfect finishing touch to this oasis.The renovated kitchen comes complete with stainless steel appliances there is also sizable closet space in the apartment. Laundry room in the building. Building has full time security staff.The apartment is located in a great area with the Riverside Park within steps looking for a deli will never be a problem there are about 3 in the area. Need a bank? At least one bank is within blocks of the apartment building. Want to eat out? No problem there are multiple restaurants to choose from.Easy access to the 1 Train.To view this apartment please call or text me - 612-268-4283. Even if your taste requires something different give me a call and we will work together to find the best apartment for you.<a website_redacted ,Broadway,[Doorman Elevator Laundry in Building Hardwood Floors No Fee],8b47e0cb1a5f4dc02a34ebbfe25c9eda,3333 Broadway,medium
102311,1,0,40.7359,6939827,-73.8545,1525,4,0,Available immediatelyWindow in Kitchen Building Features & Amenities Laundry in Building Mid-rise (7-25 Floors) Rental Property Please contact/email/text Jessica for an appointment ,62nd Avenue,[Dogs Allowed Cats Allowed],98e13ad4b495b9613cef886d79a6291f,102-40 62nd Avenue,low
102313,1,0,40.7538,6924444,-73.974,2359,4,0,Elegant and beautiful STUDIO with a view of NYC SKYSCRAPERS.- Foyer entry- High ceiling and hardwood floor throughout.- Windows throughout the rooms - Fully equipped kitchen.- Walk-in-closet- Pristine marble bath.Well maintained building with doorman live-in-super elevator and laundry.The building is in a convenient location. The subway is just few blocks away.For viewing call Karma at 449-593-7152 or email me at kagglemanager@renthop.com<a website_redacted ,140 East 46th Street,[Doorman Elevator Laundry in Building Hardwood Floors No Fee Dogs Allowed Cats Allowed],72cd64f85617625498465594c074a63a,140 East 46th Street,low
